L4,L4,L4,L1,L3
W,L2,H2,L3,L2
L1,H1,L4,L3,L4
L1,L4,L4,H3,L2
L4,L4,L1,L2,L4
SW,L2,L1,H1,L2
L4,L2,L1,P,L2
L2,L2,L3,L4,SW
L3,H3,L3,W,H1
L4,L3,L3,W,SW
L3,L3,L1,H1,H4
L2,L4,H2,H1,L3
H4,W,L3,L4,L4
SW,L1,L3,P,L3
L4,L4,H1,L2,P
L2,W,H4,L1,L1
H2,L2,L3,H3,SW
P,H3,L3,H3,L1
L1,H2,H1,P,L4
L2,L3,L4,H1,L1
L3,L4,H3,W,L3
L1,L4,L4,L2,L1
L2,L3,L3,L1,L2
L2,L4,L1,L1,L3
L4,L1,L1,L1,W
L4,H1,H1,H2,L1
L2,L4,L2,L1,L4
L4,W,L1,L2,L2
W,W,L2,L2,H1
W,L4,L4,L3,L2
L1,L3,H2,W,L4
L1,L4,L3,H1,L2
L3,L4,L4,L1,L3
L4,L2,L4,L3,L1
H1,L1,L4,L3,H3
L2,L3,L2,L1,L3
L1,L2,L4,L2,L3
W,L2,L2,L3,L1
L4,L4,W,L1,W
L2,H1,H1,H3,L1
L3,L4,H4,L3,L4
L3,L1,L1,H3,L2
L4,H1,L2,L2,L4
L2,L1,L4,L3,H1
L1,L3,SW,W,L2
L2,H3,L1,L2,L4
L1,L1,L2,H2,B
L1,L4,L2,L4,L3
L3,L2,L3,L1,L3
L4,L4,L3,L1,H2
H1,L3,H4,B,H1
L2,L1,L3,L1,L1
L2,L3,L3,L4,L1
L3,L4,L4,L2,L3
H3,H1,W,SW,SW
H2,H2,W,L4,SW
L1,H1,L2,L2,L3
L3,W,L3,L4,L1
L4,P,H3,L2,L2
L2,L3,L3,L2,H4
L3,SW,H3,L3,W
H2,L1,L2,P,L1
L3,L2,L4,L1,H2
B,L2,L1,L1,H1
L2,L1,L2,L4,L4
L2,L3,L4,L3,P
L4,H1,L1,L3,L4
H3,L1,SW,L3,L1
L2,B,L3,H1,L3
L2,L4,B,L4,H1
SW,L1,SW,L3,L3
L2,L2,W,L1,H2
L4,H1,W,H1,L2
L2,W,L2,H1,L2
L2,L2,L4,L4,L1
H1,L1,H2,L2,L3
H1,L2,L1,L3,L3
L3,L2,L2,L2,SW
W,L4,L4,H4,H1
L4,L3,H2,L2,W
H2,L3,L2,L3,L3
SW,L2,L1,H3,L1
L1,L2,H2,L4,H2
L2,L3,L1,L1,H3
W,H1,L2,L3,L4
L3,L3,L3,L2,H2
L4,L1,L4,L1,L4
L3,H2,L3,L3,L1
W,L4,L1,L3,L3
H1,L1,H2,W,H3
H1,H4,L1,L2,W
W,SW,H1,W,L4
L2,W,L2,L4,L1
L2,L4,L3,L4,L3
L1,L3,W,L1,L4
L3,L4,H2,H1,L4
L4,L2,L4,L4,L4
L1,L3,L1,L3,H1
H3,L1,L2,L2,W
L3,L3,L3,H1,H3
L3,L1,L1,L4,H3
L4,W,L1,SW,SW
L4,L1,L3,L1,L2
L3,L3,L4,L4,L4
H4,L2,L3,H1,H3
B,L1,L2,L3,L1
L4,B,L4,L1,L3
L3,L2,L2,H3,H1
H3,H2,H3,L1,L1
L3,L1,L3,H4,L3
H2,B,L1,L4,H2
L3,L3,P,L1,H1
L3,L2,L4,SW,L4
H3,H1,L2,L2,B
W,H1,L3,L3,L2
L1,L4,H1,L3,L4
H1,L4,L3,L1,L2
L4,L3,B,H2,L4
L1,H4,W,L2,L4
SW,L2,H1,H2,W
L4,L2,H1,W,W
L1,W,L3,W,L2
L4,L1,H3,L2,L2
L3,L1,H4,L1,W
H3,SW,L4,H2,H4
L3,L1,H3,H1,L3
L1,L2,L1,L2,L1
SW,L4,L2,P,H2
L1,L3,W,L1,L2
L2,L1,H3,H2,L1
L1,H4,L2,L1,L3
L3,L3,L4,L1,L1
L1,L4,L1,L3,W
L3,L4,H1,L3,H2
H1,W,L2,L4,L3
H2,L1,L3,H2,L3
H4,L1,W,L3,L1
L1,H3,L2,H3,L2
H2,L1,W,L1,L1
L3,L4,L2,L4,H1
H1,L2,SW,L4,L2
L2,L1,P,L3,H3
L1,H2,L1,H4,W
L3,L3,L1,H3,L4
H3,L3,L4,W,B
L1,L4,H2,L1,L3
L4,L3,L1,B,L1
H1,P,L3,H1,H1
L3,W,L3,L2,L3
B,L4,B,L2,L4
L2,H4,L2,H4,L4
H1,H2,H4,W,L2
L4,H2,L4,L4,H4
L1,L1,L1,L1,L3
L4,L1,H3,L4,P
L3,L3,L3,L4,H4
L3,L2,L4,H2,L2
L1,L2,B,H4,L3
B,H1,L2,L4,L1
L1,H3,L1,L1,L1
L4,L1,L4,L2,L4
H2,L2,H1,W,W
L4,L4,H2,H4,L1
L4,L1,L1,W,L2
L1,W,L4,H2,L2
L1,H2,B,L2,L2
L4,L1,SW,L3,H1
W,L3,H2,H2,SW
L3,L2,L2,L2,L1
L1,W,L2,L4,L1
H1,H3,L3,L2,L4
L3,L3,L1,H1,L1
L2,P,P,L2,L4
H2,L4,L1,L2,H4
L4,H1,L4,L3,H2
L2,H4,H1,P,L2
H1,SW,L2,L3,SW
W,L2,H1,L2,W
L4,L1,L4,L1,L4
H4,L3,B,L2,L1
L1,H4,L1,L3,B
L1,L2,L3,L4,L4
H3,L1,H1,L3,H2
L2,H3,W,L4,L2
L2,H1,L2,W,L1
L1,L2,L4,L4,H2
L2,L3,L4,L4,L1
L3,W,H4,H1,H3
L4,H3,H1,L1,L1
L1,W,L1,L4,L4
P,H3,L4,H2,L2
L3,L3,L2,L3,L2
L4,L3,L3,B,L3
