L2,L1,BT,H3,L1
L2,L4,L1,H1,L3
L2,L4,H1,H1,H1
L2,L3,L4,L4,L3
L2,L4,L2,H3,L3
L2,H2,L3,L4,L4
L4,L4,H1,H1,L2
H2,L2,H4,L4,SW
L4,H2,L1,L1,L1
L2,H1,L2,L1,L1
L3,L1,H1,L4,H1
L2,H4,L4,L4,H2
L1,L3,H3,H1,H3
L3,L1,L2,L4,H1
L3,L4,H2,H1,L4
BT,L4,L1,L2,H1
H3,H4,H3,L2,H1
H3,L1,H2,L2,L3
L1,L3,L2,L3,H2
H1,L2,L3,L2,L2
L3,L4,H3,SW,L1
L1,L4,H3,L4,L4
BT,L4,H1,L1,H3
L2,H2,L3,H1,L4
H1,L1,L3,L3,H1
L3,L4,L1,H1,L2
L1,H3,L2,L4,L4
L2,H2,H1,L2,L3
L3,L4,H1,H2,L3
L4,L4,H2,H1,H3
H3,L1,L2,L4,H4
L3,L2,L1,L4,L4
L4,L2,H4,H3,L2
H1,L4,L1,L2,H3
H4,L3,L4,H1,L2
L1,H2,L1,H3,L3
H2,H1,L4,H2,L3
L4,H3,L4,L3,L3
L4,L1,H2,L2,L1
L1,L4,L3,L3,L3
H1,SW,L2,L3,L4
H3,L2,L1,H2,H4
L4,L2,L4,L2,H2
L2,H3,L1,H2,L2
L4,L1,L3,L2,L4
L1,H3,L4,H2,L2
H3,L4,H2,L3,L2
L2,H1,L3,L2,L3
L2,L2,L1,H3,L1
H4,L1,L4,L3,L3
L2,H1,L3,L1,L3
H3,H1,L3,H1,L2
H2,L3,L3,L1,H4
L3,L3,H1,L3,L4
H4,L1,L3,H1,L3
H3,L1,L3,L1,L4
L1,L2,H1,L2,H2
L4,L1,H2,L4,L4
L3,H4,L3,H3,L2
L1,L2,SW,BT,BT
L1,L4,L4,L3,L2
L4,L4,L4,L1,H3
L2,H1,H4,L4,H2
L1,L1,H2,L3,L1
L3,L4,H1,L2,H3
H2,H3,L1,H3,H2
L2,L2,L1,L2,L1
L4,L2,L3,H3,L4
L3,L4,H3,L3,H2
H2,L1,L2,L1,BT
L1,H2,L4,L3,L3
L4,L2,L2,L3,L2
L4,L4,L2,H1,H4
L1,L3,SW,H3,H4
L4,L4,L3,L1,L4
L3,H1,L4,L1,L3
L4,L4,L1,L4,L2
H3,L3,L4,H1,L2
L3,H1,L1,L3,H1
SW,L1,H2,L1,L3
L2,L3,H2,H4,L4
L4,L3,L3,H4,L2
L2,L1,H4,L2,H3
L3,H4,H1,H4,L2
L1,L3,L2,L1,L3
L3,L4,L3,L2,L1
L3,L4,L1,L4,L3
L2,L3,L1,L3,L3
L2,H1,L4,H2,H4
H1,L3,SW,H3,H4
L4,L2,L2,L1,H1
L1,L2,L3,L3,L4
L3,L1,L3,H4,H2
L4,L2,L4,L4,L2
L4,H3,H1,L1,L4
L1,L4,L2,L3,L1
H1,L1,L2,L1,L4
H2,H2,L1,L1,L2
L1,L1,L1,L1,H1
SW,H2,H4,L4,H1
H3,L3,L1,L2,L2
L3,L2,H4,L1,L3
L1,L1,H1,L4,L3
L3,H2,L2,L2,L4
L4,L3,L2,L1,L1
H1,H2,L1,L2,SW
L1,H1,L1,H2,L3
L4,H1,H3,L2,H2
H1,L2,L1,L2,L2
H1,L3,L2,L3,L1
L2,BT,L4,L1,L1
L3,L3,L2,L4,L1
L2,L2,H2,L3,L1
H1,H1,L2,H1,L4
L3,L2,L2,H2,L3
L4,L1,L3,L1,H1
L2,H1,L2,H2,L1
L1,H3,H3,L2,L3
L2,H4,L1,L3,H2
L3,L3,H1,L2,L3
H2,H3,H3,L4,H4
L1,L1,L2,L4,H1
L4,L4,L4,L1,BT
H1,H4,L1,L2,H2
H4,L4,H3,L4,L1
L1,BT,H1,L4,L1
L1,H3,L4,L1,L2
L3,H4,L4,L1,H3
L2,L4,L1,L2,H2
L1,H3,L4,H4,L1
L1,H3,L4,L3,H4
H2,L4,H1,L3,L4
H1,L3,L4,L3,H3
L3,H2,H2,L1,L4
L4,L3,H3,L1,L2
L2,L2,L1,BT,L1
L2,H2,L1,L1,H2
L3,SW,L2,H4,L1
L1,L4,H3,H4,H2
L4,H1,H1,H3,H3
BT,L2,H3,L1,L1
H1,L1,L3,L4,L3
H2,H4,L1,L2,L4
L2,L3,L1,SW,L2
H1,L1,H1,L4,L2
L2,L2,L2,H4,L1
H2,L4,L1,L4,L4
H4,L2,L4,H3,L1
L1,H2,L3,L1,L4
L3,H3,H4,H2,BT
H4,H3,L2,H1,L3
H1,H1,L3,L3,H1
L4,L2,L1,L2,L2
H2,L1,L4,L2,H3
H4,L1,L2,H3,L4
H4,L4,L1,L3,L3
L4,L3,L3,L4,BT
L3,H4,H1,L2,L3
L3,L1,BT,L1,L2
H1,BT,L4,L4,H4
H1,L3,L4,L2,L1
L3,L3,L2,L2,L4
H2,L2,L3,H2,H3
H3,L2,L2,H1,L3
L3,L3,L3,L2,H1
H2,L2,L2,H2,L2
H3,H2,H3,H1,L2
H3,H4,H2,L1,H1
H3,L3,H2,L2,L4
L4,L1,L4,L3,L2
L3,H1,L2,H2,L2
L4,L2,L3,H2,H1
L3,L3,L3,L3,L1
L2,L2,L1,H1,L3
L1,L2,L3,H2,H1
H2,L3,H1,L4,L4
L1,L3,H4,H4,L3
H2,H1,L1,L1,L4
L2,L3,H2,L4,H1
L4,L1,L3,H4,L4
L2,H1,H4,H1,H3
L2,L3,L3,L3,L2
H4,L2,L2,L2,L2
H2,L2,L4,L3,H2
L4,L3,L1,L1,L2
H3,L1,L2,L4,L3
