H2,L2,H1,H1,H1
L3,H1,H1,L2,L1
H2,L4,H1,H4,H3
H1,H1,H1,H3,H1
H1,SW,H1,L3,L2
L3,L2,L2,L4,SW
L3,H4,H1,SW,H1
SW,H1,H1,L3,H1
H1,L1,H1,SW,H4
H1,L1,H4,SW,H4
H1,H1,H1,L4,H2
H1,SW,H2,H1,H1
H1,L4,H3,H1,SW
H2,H4,H1,H4,SW
H1,L3,H3,L2,H2
H1,L4,L2,H2,H1
SW,H2,L4,H1,H3
H2,H1,H2,H1,H2
H1,H1,H1,H1,H2
SW,H1,H1,H3,SW
H3,H1,SW,H2,H4
L4,H1,SW,H1,H1
H1,L4,L1,H1,H2
H4,H2,H1,H1,L1
L4,H1,H1,H2,L1
SW,SW,H4,H1,H3
H2,H1,H1,L3,H1
H1,L2,H1,L3,L3
SW,L1,H1,H1,L1
L1,H4,L1,H2,H4
L2,H1,H1,L3,SW
H1,H3,H1,H3,L1
H1,H1,H1,H2,H2
H3,L3,H2,H1,L4
SW,H2,SW,H1,H1
H2,H1,H4,SW,L3
H3,H1,H3,SW,SW
H1,H1,H1,H1,H1
H2,H3,H2,SW,H4
H1,SW,H4,H4,H2
H1,SW,L3,H4,H1
L4,H1,SW,H2,SW
H1,H1,H1,H1,H1
L1,H1,L3,SW,H2
SW,H1,H1,H2,H1
H3,H3,H1,H3,H4
L4,H2,SW,H1,L2
H1,H1,H1,H1,H1
H3,H1,H1,L2,SW
L1,H1,H4,H1,H2
H1,H4,SW,SW,H1
SW,SW,SW,SW,H1
H1,H2,H3,H1,H3
H4,H1,H1,H4,H1
H4,L3,H1,H1,H1
H3,L1,H1,L1,H3
H4,L1,H2,SW,L2
H4,H3,H4,H1,H3
L3,H2,H1,H2,H1
H3,H2,H1,H2,H1
H1,H1,SW,H1,H4
H1,H4,L1,H1,L4
H1,H3,H1,H1,H1
H1,H1,H3,H4,H3
H4,SW,H3,L1,H1
H1,SW,H4,H1,H1
SW,H1,H3,H4,SW
H1,H1,SW,L1,H1
H4,SW,H4,H1,H1
SW,H2,H2,SW,H1
H3,H3,SW,H1,H1
H1,H1,SW,H1,H1
L2,SW,H2,L4,H1
H1,L3,H3,H1,H1
H2,H1,H1,H1,H1
L1,H1,H1,H1,H1
H2,H4,H1,H4,L3
H1,H3,H2,H2,H1
H1,H1,H1,L4,H1
H1,SW,H3,H2,H1
H3,H1,H1,H3,H3
L4,H2,H1,H1,H1
H1,H2,H3,H1,SW
H1,H4,L1,H2,H1
L2,H2,H2,H4,H2
H1,H1,H1,H1,H1
SW,H3,L4,L1,H1
H4,H2,SW,H3,H2
H1,SW,SW,H3,SW
L2,L1,H1,H1,H4
H2,H1,L2,H2,H4
H1,H1,H1,H3,H3
L1,H1,H4,H4,SW
H2,SW,H1,L2,H3
H3,L2,H1,H1,H3
H1,H3,H1,SW,L2
H1,H1,H1,H3,H1
H2,SW,H2,H2,H1
L2,H3,H3,H1,H2
H1,H3,H1,SW,L2
H1,L2,SW,SW,SW
H3,L4,H2,H2,L4
H1,H1,H1,H3,H1
H1,H2,H3,H1,L4
SW,SW,H2,H1,H2
H1,H4,H1,L4,L1
H2,SW,SW,H1,H1
SW,H1,H2,H1,H1
H4,H1,H2,H3,L4
SW,H4,SW,H1,H2
H3,H2,L4,H3,H2
H2,H3,H4,H3,H4
H2,H4,H3,H1,SW
H4,H1,H3,H1,H1
SW,H2,L1,SW,L3
L3,H1,L3,L1,L3
L1,H1,H4,L1,SW
H3,H1,H2,L2,H3
H1,H3,H4,H1,SW
SW,L3,H2,SW,H3
